0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 1172
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "GET /SalonManagement/app/dashboard/dashboard.ctrl.js HTTP/1.1" 200 6515
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "GET /SalonManagement/app/payment/payment.ctr.js HTTP/1.1" 200 16688
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 1800
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 1294
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:17 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "GET /SalonManagement/app/walkin/walkin.ctr.js HTTP/1.1" 200 47006
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "GET /SalonManagement/app/prodsales/locationfactory.fac.js HTTP/1.1" 200 3533
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "GET /SalonManagement/app/reservation/reservation-table.ctrl.js HTTP/1.1" 200 35505
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "GET /SalonManagement/app/prodsales/prodSales.ctrl.js HTTP/1.1" 200 25533
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "GET /SalonManagement/app/report/reportsFactory.fac.js HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "GET /SalonManagement/app/report/reservationReportController.ctrl.js HTTP/1.1" 200 13642
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "GET /SalonManagement/app/report/productTagsReportController.ctrl.js HTTP/1.1" 200 2896
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "POST /SalonManagement/GetTotalClients HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [07/Dec/2016:01:00:18 +0800] "POST /SalonManagement/GetTotalClients HTTP/1.1" 200 19
