127.0.0.1 - - [27/Sep/2016:14:11:46 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:12:06 +0800] "GET /SalonManagement/ HTTP/1.1" 200 17058
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:12:07 +0800] "GET /SalonManagement/font-awesome/css/font-awesome.css HTTP/1.1" 200 37327
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:12:07 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:12:09 +0800] "GET /SalonManagement/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:12:30 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:11 +0800] "POST /SalonManagement/login HTTP/1.1" 200 17058
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:42 +0800] "POST /SalonManagement/login HTTP/1.1" 200 20409
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 200 204753
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 200 17354
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/sweetalert.css HTTP/1.1" 200 23811
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/dropify.min.css HTTP/1.1" 200 9867
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 200 140015
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/xcharts.min.css HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/mainloader.css HTTP/1.1" 200 10278
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/fullcalendar.css HTTP/1.1" 200 26662
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/materialize.clockpicker.css HTTP/1.1" 200 127483
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/perfect-scrollbar.min.css HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/nouislider.min.css HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/baselayout.css HTTP/1.1" 200 11932
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/angular-validation.css HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/nouislider.pips.css HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 200 82654
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/css/nouislider.tooltips.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 200 285475
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 200 159443
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/angular-animate.min.js HTTP/1.1" 200 25774
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/angular-materialize.min.js HTTP/1.1" 200 16374
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/angular-datatables.min.js HTTP/1.1" 200 14158
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 200 22691
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 200 56524
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/additional.js HTTP/1.1" 200 13434
0:0:0:0:0:0:0:1 - - [27/Sep/2016:14:13:43 +0800] "GET /SalonManagement/js/stepform.js HTTP/1.1" 200 14107
