127.0.0.1 - - [28/Sep/2016:00:06:38 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:39 +0800] "GET /SalonManagement/ HTTP/1.1" 200 17058
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:55 +0800] "POST /SalonManagement/login HTTP/1.1" 200 20409
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:55 +0800] "GET /SalonManagement/getImage.action?ImageID=68&type=employee HTTP/1.1" 200 70315
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:56 +0800] "GET /SalonManagement/getProductNames HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:56 +0800] "GET /SalonManagement/getJob HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "GET /SalonManagement/getServiceNames HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "GET /SalonManagement/getCategory HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "GET /SalonManagement/getServiceCategory HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/api/v1/getAllLocation HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/api/v1/getAllOtherCharge HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/getAllDiscountNoDetails HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:57 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "GET /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "GET /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:58 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:59 +0800] "POST /SalonManagement/GetTotalClients HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:59 +0800] "POST /SalonManagement/GetTotalClients HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:59 +0800] "POST /SalonManagement/salesChart HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:59 +0800] "POST /SalonManagement/dashBoardSales HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:06:59 +0800] "POST /SalonManagement/dashBoardSales HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:05 +0800] "GET /SalonManagement/reservationPage HTTP/1.1" 200 21037
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/getImage.action?ImageID=68&type=employee HTTP/1.1" 200 70315
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/getProductNames HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/getJob HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/getServiceNames HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/getCategory HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/getServiceCategory HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllLocation HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllOtherCharge HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/getAllDiscountNoDetails HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:06 +0800] "GET /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/getAllPromoNoDetails HTTP/1.1" 200 407
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/api/v1/getAllProduct HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/api/v1/getAllPackage HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "GET /SalonManagement/api/v1/getAllService HTTP/1.1" 200 2039
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "GET /SalonManagement/getRequirements HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:07 +0800] "POST /SalonManagement/salesChart HTTP/1.1" 200 1282
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:12 +0800] "GET /SalonManagement/js/angular.min.js.map HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:12 +0800] "GET /SalonManagement/js/angular-animate.min.js.map HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:12 +0800] "GET /SalonManagement/js/lodash.min.js.map HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:07:12 +0800] "GET /SalonManagement/js/angular-resource.min.js.map HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:37 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:37 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:46 +0800] "GET /SalonManagement HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:46 +0800] "GET /SalonManagement/ HTTP/1.1" 200 17058
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:46 +0800] "GET /SalonManagement/font-awesome/css/font-awesome.css HTTP/1.1" 200 37327
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:46 +0800] "GET /SalonManagement/font-awesome/css/font-awesome.css HTTP/1.1" 200 37327
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:47 +0800] "GET /SalonManagement/js/jquery-2.1.1.min.js HTTP/1.1" 200 84247
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:48 +0800] "GET /SalonManagement/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "POST /SalonManagement/login HTTP/1.1" 200 20409
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/mtnc-emp.css HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/bartstable.css HTTP/1.1" 200 17354
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/materialize.css HTTP/1.1" 200 204753
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/sweetalert.css HTTP/1.1" 200 23811
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/mainloader.css HTTP/1.1" 200 10278
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/dropify.min.css HTTP/1.1" 200 9867
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/mystyle.css HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/material.min.css HTTP/1.1" 200 140015
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/materialize.clockpicker.css HTTP/1.1" 200 127483
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/baselayout.css HTTP/1.1" 200 11932
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/animate.css HTTP/1.1" 200 75599
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/xcharts.min.css HTTP/1.1" 200 4104
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/fullcalendar.css HTTP/1.1" 200 26662
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/perfect-scrollbar.min.css HTTP/1.1" 200 4691
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/nouislider.tooltips.css HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/angular-validation.css HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/nouislider.pips.css HTTP/1.1" 200 1404
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:51 +0800] "GET /SalonManagement/css/nouislider.min.css HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/angular-animate.min.js HTTP/1.1" 200 25774
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/angular-datatables.min.js HTTP/1.1" 200 14158
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/angular-materialize.min.js HTTP/1.1" 200 16374
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/font/roboto/Roboto-Regular.woff2 HTTP/1.1" 200 49236
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/jquery.dataTables.min.js HTTP/1.1" 200 82654
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/maintenance-emp.js HTTP/1.1" 200 56524
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/materialize.js HTTP/1.1" 200 285475
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/css/MaterialIcons-Regular.woff2 HTTP/1.1" 200 42284
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/bartstable.js HTTP/1.1" 200 2107
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/jquery.validate.js HTTP/1.1" 200 22691
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/angular.min.js HTTP/1.1" 200 159443
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/getImage.action?ImageID=68&type=employee HTTP/1.1" 200 70315
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/jquery.formatter.min.js HTTP/1.1" 200 8220
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/stepform.js HTTP/1.1" 200 14107
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/additional.js HTTP/1.1" 200 13434
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/sweetalert.min.js HTTP/1.1" 200 16977
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/validation.js HTTP/1.1" 200 87110
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/dropify.min.js HTTP/1.1" 200 10524
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/formatted-numbers.js HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/priceformat.js HTTP/1.1" 200 7695
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/angular-SweetAlert.min.js HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/jquery.formatCurrency-1.4.0.js HTTP/1.1" 200 7399
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/jquery.ellipsis.min.js HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/ellipsis.js HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/exporting.js HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/moment-with-locale.js HTTP/1.1" 200 228512
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/materialize.clockpicker.js HTTP/1.1" 200 23475
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/lodash.min.js HTTP/1.1" 200 69244
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/employee-account.js HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/highcharts.js HTTP/1.1" 200 172873
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/ajax.js HTTP/1.1" 200 5663
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/nouislider.min.js HTTP/1.1" 200 18332
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/ajax/employee-position.js HTTP/1.1" 200 8604
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/moment.min.js HTTP/1.1" 200 39842
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/ajax/product-name.js HTTP/1.1" 200 2165
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/ajax/product-category.js HTTP/1.1" 200 8940
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/ajax/service-name.js HTTP/1.1" 200 2281
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/ajax/service-category.js HTTP/1.1" 200 9569
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:52 +0800] "GET /SalonManagement/js/fullcalendar.js HTTP/1.1" 200 350145
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/extracharge.js HTTP/1.1" 200 9274
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/delivery.js HTTP/1.1" 200 8436
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/discount-requirement.js HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/discount.js HTTP/1.1" 200 26602
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/discount-update.js HTTP/1.1" 200 38400
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/discount-deactivate.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/discount-create.js HTTP/1.1" 200 4739
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/package.js HTTP/1.1" 200 25772
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/package-view.js HTTP/1.1" 200 4195
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/package-update.js HTTP/1.1" 200 47456
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/package-deactivate.js HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/promo.js HTTP/1.1" 200 43092
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/promo-requirement.js HTTP/1.1" 200 4792
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/promo-update-func.js HTTP/1.1" 200 53
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/ajax/promo-update.js HTTP/1.1" 200 68207
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/angular-resource.min.js HTTP/1.1" 200 4524
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/angular-checklist.js HTTP/1.1" 200 4557
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 200 25856
0:0:0:0:0:0:0:1 - - [28/Sep/2016:00:09:53 +0800] "GET /SalonManagement/js/baselayout.js HTTP/1.1" 200 2672
